track_id,track_name,artist_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,is_viral
1fj6MBtTLNxeP40iH5G5e4,Ntmyt,Marek Hemmann,18,363826,0,0.689,0.689,7,-9.818,1,0.0583,0.0108,0.883,0.273,0.682,124.011,4,0
0ntmUJrx1sCVROZXFETuPR,"God, His Son And Holy Whore",Amon Amarth,23,240173,0,0.136,0.99,4,-3.845,1,0.107,2.32e-06,0.868,0.29,0.0359,199.951,4,0
7F4Zrd4rCDwm4AaVJ8tpCu,Jingle Bell Rock,Blake Shelton,0,123400,0,0.65,0.736,0,-5.222,1,0.0378,0.122,0.0,0.0998,0.595,129.941,4,0
2A7Cd7hmAhCOnQ1rR3xs7r,Sacale Punta,Edgardo Donato,17,139093,0,0.687,0.334,4,-11.446,1,0.0728,0.978,0.00777,0.0768,0.964,93.028,4,0
3agQa2P1Kr5YAq58nvIT8t,Rock Nena Linda (Rock Pretty Baby),Los Teen Tops,31,107533,0,0.525,0.641,4,-6.825,1,0.0793,0.572,0.0,0.253,0.919,95.273,4,0
2zh01m4PiHaZz4BAm0NRxs,Tie Me Down (with Elley Duhé),Gryffin;Elley Duhé,66,218239,0,0.608,0.845,6,-2.292,1,0.0597,0.136,0.0,0.111,0.322,98.976,4,0
08hXzYgsInXo6MkGRyNgPn,Verdade - Ao Vivo,Zeca Pagodinho,36,278280,0,0.634,0.792,5,-9.201,1,0.0608,0.616,1.9e-06,0.749,0.797,116.064,4,0
5IW9WRaLxJblCkVXhC1vye,Vem - Ao Vivo,Nívea Soares;Gabriela Rocha,49,571013,0,0.358,0.65,7,-9.241,0,0.0429,0.0546,1.34e-06,0.641,0.226,144.037,4,0
2sjg5jT1ljKRaL2C4nDsnp,Tied Up,LFO,14,321360,0,0.572,0.98,7,-4.933,1,0.0997,0.000399,0.766,0.0606,0.405,109.994,4,0
0VQWAQY1QD9lGP2zDBSBid,yaadein,Zaeden;AAKASH,46,162352,0,0.643,0.508,5,-8.325,1,0.0432,0.492,0.0,0.121,0.408,170.136,4,0
38eBzXvEk3ZVNw9VKwBXMb,Naani Naani,WowKidz,18,50921,0,0.914,0.362,2,-9.317,1,0.124,0.737,0.0,0.0813,0.642,89.962,4,0
3Aod2IpCP00QHUlnbLRhq0,My Peace of Heaven,Ten City,16,332866,0,0.665,0.723,11,-12.277,0,0.0368,0.0259,0.00469,0.0799,0.74,121.473,4,0
5zI5Csd3ClcYXcJhs67aRZ,Baby Shark,Desmond Dennis,34,198546,0,0.707,0.626,8,-9.211,1,0.0448,0.00547,0.0,0.268,0.878,150.906,4,0
7HuER5q1a5dJ0uKrfGrMCj,Searching,Jlyricz,16,190714,0,0.552,0.424,8,-6.649,1,0.0722,0.604,0.0,0.0849,0.596,204.128,3,0
0Nt1f0uMkjTdoN9141ukhq,Ay No!,Nonpalidece,40,269185,0,0.805,0.519,6,-11.246,0,0.0854,0.0745,1.4e-06,0.076,0.681,76.014,4,0
4CppdAJG5buU2xqaDmTVkf,Lied der Freiheit,Nana Mouskouri;Alain Goraguer Et Son Orchestre,22,240413,0,0.252,0.297,1,-12.543,1,0.0406,0.958,0.000202,0.135,0.172,104.224,4,0
6CTqCqStHM2ji0liLLVJvk,Good Night,Oatmello;Late Era,51,157377,0,0.533,0.165,2,-14.879,1,0.0396,0.929,0.937,0.105,0.189,122.064,4,0
3oe8DvAkbindovOqSdny5X,I Feel Good (feat. Bunga),Pink Sweat$;Bunga,27,135849,0,0.792,0.744,11,-4.744,1,0.0554,0.0766,4.55e-05,0.0548,0.65,105.981,4,0
5BSflJ1ehYRK7cqn9hrYGd,"Cabô, Meu Pai",Toque De Prima,43,202626,0,0.613,0.711,2,-7.046,1,0.193,0.599,0.0,0.655,0.853,97.098,4,0
12ejMx8QRdhO7aotZVGCuZ,Recharged,DJ Isaac,18,259459,0,0.589,0.965,5,-2.988,0,0.197,0.0055,0.0048,0.745,0.271,147.905,4,0
34p4d1RRVLvfg1xKEJfPvW,Caballero,Moderatto;KAROL G,0,193106,0,0.694,0.853,4,-4.207,0,0.107,0.0367,9.89e-05,0.352,0.74,93.08,4,0
5PsG3vg7isSwbJP06FvvUt,The Presence Is Ominous,Borknagar,16,294720,0,0.164,0.856,9,-4.534,0,0.0599,2.66e-06,0.0247,0.24,0.163,130.919,4,0
6OxtLXSJxfKA6XTKKwALse,Sünderlein,Brings,0,240920,0,0.57,0.904,0,-2.876,1,0.0601,0.00284,0.0,0.253,0.478,128.985,4,0
6ZgQBgQSGh3DGk8NNoKAMa,白日 - ちゅうおん2021 Live ver.,Shiritsu Ebisu Chugaku,20,183613,0,0.542,0.736,1,-5.913,1,0.0607,0.0729,0.0,0.695,0.189,93.0,4,0
1FF6TogE9ELY71XnLPoEv6,Just The Two Of Us,Andrew Foy;Renee Foy,41,196304,0,0.618,0.083,4,-23.665,1,0.057,0.745,0.000123,0.146,0.597,90.865,4,0
7ErnTS7HiYqwBTNrtdqxK9,The Money Bunny,The Jamborees,11,80400,0,0.632,0.431,0,-14.856,1,0.949,0.754,0.0,0.791,0.369,170.12,1,0
5drK2kTE2mrUdV33iHWyrx,Mad About You,Hooverphonic,61,223733,0,0.465,0.844,1,-4.352,0,0.0379,0.00109,0.399,0.0865,0.155,170.358,4,0
7snboOlhbuJ0wrbqGqT0qr,Won't You Sometimes Think Of Me,Hank Williams,15,112933,0,0.641,0.195,1,-12.673,1,0.0292,0.921,1.97e-05,0.201,0.532,139.386,4,0
6ubqrTIJwspBSqx8XQHN2K,Mayhem,Halestorm,55,216760,0,0.398,0.982,2,-3.979,1,0.178,0.00306,0.0243,0.44,0.401,172.822,4,0
